"Depto"	"Nombre_depto"	"Municipio"	"Nombre_municipio"	"Localidad"	"Nombre_localidad"	"Operador"
"11"	"BOGOTAÅ, D.C."	"11001"	"BOGOTAÅ, D.C."	"1100101"	"Usaquen"	"TIGO"
"11"	"BOGOTAÅ, D.C."	"11001"	"BOGOTAÅ, D.C."	"1100103"	"Santa Fe"	"TIGO"
"11"	"BOGOTAÅ, D.C."	"11001"	"BOGOTAÅ, D.C."	"1100105"	"Usme"	"TIGO"
"11"	"BOGOTAÅ, D.C."	"11001"	"BOGOTAÅ, D.C."	"1100107"	"Bosa"	"TIGO"
"11"	"BOGOTAÅ, D.C."	"11001"	"BOGOTAÅ, D.C.ç"	"1100102"	"Chapinero"	"TIGO"
"11"	"BOGOTAÅ, D.C."	"11001"	"BOGOTAÅ, D.C."	"1100104"	"San Cristobal"	"TIGO"
"11"	"BOGOTAÅ, D.C."	"11001"	"BOGOTAÅ, D.C."	"1100106"	"Tunjuelito"	"TIGO"
"11"	"BOGOTAÅ, D.C."	"11001"	"BOGOTAÅ, D.C."	"1100109"	"Fontibon"	"TIGO"
"11"	"BOGOTAÅ, D.C."	"11001"	"BOGOTAÅ, D.C."	"1100114"	"Martires"	"TIGO"
"11"	"BOGOTAÅ, D.C."	"11001"	"BOGOTAÅ, D.C."	"1100120"	"Sumapaz"	"TIGO"
"11"	"BOGOTAÅ, D.C."	"11001"	"BOGOTAÅ, D.C."	"1100108"	"Kenedy"	"TIGO"
"11"	"BOGOTAÅ, D.C."	"11001"	"BOGOTAÅ, D.C."	"1100111"	"Suba"	"TIGO"
"11"	"BOGOTAÅ, D.C."	"11001"	"BOGOTAÅ, D.C."	"1100113"	"Teusaquillo"	"TIGO"
"11"	"BOGOTAÅ, D.C."	"11001"	"BOGOTAÅ, D.C."	"1100117"	"Candelaria"	"TIGO"
"11"	"BOGOTAÅ, D.C."	"11001"	"BOGOTAÅ, D.C."	"1100118"	"Rafael Uribe"	"TIGO"
"11"	"BOGOTAÅ, D.C."	"11001"	"BOGOTAÅ, D.C."	"1100110"	"Engativa"	"TIGO"
"11"	"BOGOTAÅ, D.C."	"11001"	"BOGOTAÅ, D.C."	"1100115"	"Antonio Narino"	"TIGO"
"11"	"BOGOTAÅ, D.C."	"11001"	"BOGOTAÅ, D.C."	"1100112"	"Barrios Unidos"	"TIGO"
"11"	"BOGOTAÅ, D.C."	"11001"	"BOGOTAÅ, D.C."	"1100116"	"Puente Aranda"	"TIGO"
"11"	"BOGOTAÅ, D.C."	"11001"	"BOGOTAÅ, D.C."	"1100119"	"Ciudad Bolivar"	"TIGO"
"68"	"SANTANDER"	"68001"	"BUCARAMANGA"	"6800101"	"Norte"	"TIGO"
"68"	"SANTANDER"	"68001"	"BUCARAMANGA"	"6800104"	"Occidental"	"TIGO"
"68"	"SANTANDER"	"68001"	"BUCARAMANGA"	"6800107"	"La Ciudadela"	"TIGO"
"68"	"SANTANDER"	"68001"	"BUCARAMANGA"	"6800109"	"La Pedregosa"	"TIGO"
"68"	"SANTANDER"	"68001"	"BUCARAMANGA"	"6800111"	"Sur"	"TIGO"
"68"	"SANTANDER"	"68001"	"BUCARAMANGA"	"6800113"	"Oriental"	"TIGO"
"68"	"SANTANDER"	"68001"	"BUCARAMANGA"	"6800102"	"Nororiental"	"TIGO"
"68"	"SANTANDER"	"68001"	"BUCARAMANGA"	"6800105"	"Garcia Rovira"	"TIGO"
"68"	"SANTANDER"	"68001"	"BUCARAMANGA"	"6800112"	"Cabecera del Llano"	"TIGO"
"68"	"SANTANDER"	"68001"	"BUCARAMANGA"	"6800114"	"Morrorico"	"TIGO"
"68"	"SANTANDER"	"68001"	"BUCARAMANGA"	"6800103"	"San Francisco"	"TIGO"
"68"	"SANTANDER"	"68001"	"BUCARAMANGA"	"6800106"	"La Concordia"	"TIGO"
"68"	"SANTANDER"	"68001"	"BUCARAMANGA"	"6800116"	"Lagos del Cacique"	"TIGO"
"68"	"SANTANDER"	"68001"	"BUCARAMANGA"	"6800108"	"Sur Occidente"	"TIGO"
"68"	"SANTANDER"	"68001"	"BUCARAMANGA"	"6800115"	"Centro"	"TIGO"
